Id transacción,Comercio Id,Mes Operacion,Estado,Moneda,# Transacciones,Monto Transaccion,Monto Contracargo (Venta)
1210,23,1/7/2021,FAILED,MXN,547,"1,928,724.26",0
1211,23,1/8/2021,IN_PROGRESS,MXN,"88,976","311,376,979.01",0
1212,23,1/8/2021,CANCELLED,MXN,"11,063","65,383,905.48",0
1213,23,1/8/2021,COMPLETED,MXN,"7,360","31,236,467.03",0
1214,23,1/8/2021,FAILED,MXN,602,"1,966,883.92",0
1215,24,1/7/2021,COMPLETED,MXN,"80,698","32,934,200","167,700"
1216,24,1/7/2021,FAILED,MXN,"16,333","6,675,600",0
1217,24,1/7/2021,ERROR,MXN,252,"101,200",0
1218,24,1/8/2021,COMPLETED,MXN,"75,054","30,082,000","51,900"
1219,24,1/8/2021,FAILED,MXN,"19,586","8,047,900",0
1220,24,1/8/2021,ERROR,MXN,96,"27,300",0
1221,25,1/7/2021,FAILED,MXN,"69,576","9,090,528.03",0
1222,25,1/7/2021,COMPLETED,MXN,"23,168","2,197,999.62","29,004.16"
1223,25,1/7/2021,EXPIRED,MXN,"11,131","1,346,384.36",0
1224,25,1/7/2021,CANCELLED,MXN,624,"81,041.06",0
1225,25,1/7/2021,ERROR,MXN,487,"61,009.17",0
1226,25,1/7/2021,IN_PROGRESS,MXN,1,20,0
1227,25,1/8/2021,FAILED,MXN,"53,522","7,118,733.22",0
1228,25,1/8/2021,COMPLETED,MXN,"23,445","2,274,937.14","42,494.37"
1229,25,1/8/2021,EXPIRED,MXN,"8,697","1,044,036.81",0
1230,25,1/8/2021,CANCELLED,MXN,723,"96,191.74",0
1231,25,1/8/2021,ERROR,MXN,77,"8,429.38",0
1232,26,1/7/2021,FAILED,MXN,"65,399","154,826,073.05",0
1233,26,1/7/2021,COMPLETED,MXN,"28,099","43,862,181.08","3,229,434.30"
1234,26,1/7/2021,ERROR,MXN,77,"159,750.45",0
1235,26,1/8/2021,FAILED,MXN,"53,277","111,349,973.12",0
1236,26,1/8/2021,COMPLETED,MXN,"27,325","41,857,554.77","1,101,821.29"
1237,26,1/8/2021,ERROR,MXN,30,"80,408.76",0
1238,27,1/7/2021,COMPLETED,EUR,"64,909","9,609,195.33",0
1239,27,1/7/2021,FAILED,EUR,"19,697","3,363,190.77",0
1240,27,1/7/2021,EXPIRED,EUR,"4,307","642,164.44",0
1241,27,1/7/2021,ERROR,EUR,7,682.48,0
1242,27,1/7/2021,CHARGE_PENDING,EUR,2,480.41,0
1243,27,1/8/2021,COMPLETED,EUR,"63,336","8,288,963.22",0
1244,27,1/8/2021,FAILED,EUR,"16,998","2,524,069.31",0
1245,27,1/8/2021,EXPIRED,EUR,"4,349","580,348.38",0
1246,27,1/8/2021,ERROR,EUR,43,"4,623.84",0
1247,27,1/8/2021,CHARGE_PENDING,EUR,1,10,0
1248,28,1/7/2021,IN_PROGRESS,MXN,"80,277","197,122,477.58",0
1249,28,1/7/2021,COMPLETED,MXN,167,"3,166,407.31",0
1250,28,1/7/2021,FAILED,MXN,41,"20,565.34",0
1251,28,1/8/2021,IN_PROGRESS,MXN,"91,138","257,291,816.04",0
1252,28,1/8/2021,COMPLETED,MXN,189,"77,674",0
1253,28,1/8/2021,FAILED,MXN,55,"22,218",0
1254,28,1/8/2021,CANCELLED,MXN,2,"4,201.72",0
1255,29,1/7/2021,COMPLETED,MXN,"38,781","8,858,376.96","368,324"
1256,29,1/7/2021,FAILED,MXN,"38,001","$7,609,673.83 ",0
