tx_agg_id,merchant_id,op_month_date,status,cc,tx_cnt,tx_amt,cb_amt,total_terminal_tx_amt,completed_tx_cnt_per,all_statuses_flag
1799,98,2021-08-01,IN_PROGRESS,MXN,27,23690.0,0.0,0.0,0.42775782002979057,0
1800,99,2021-07-01,COMPLETED,MXN,9217,24365672.93,0.0,12919153058.399994,0.8161693084211459,0
1801,99,2021-07-01,FAILED,MXN,2070,7962810.4,0.0,9063826205.330002,0.8161693084211459,0
1802,99,2021-07-01,CANCELLED,MXN,6,10638.0,0.0,0.0,0.8161693084211459,0
1803,99,2021-08-01,COMPLETED,MXN,9285,24582232.54,0.0,12919153058.399994,0.8297587131367292,0
1804,99,2021-08-01,FAILED,MXN,1905,11529007.92,0.0,9063826205.330002,0.8297587131367292,0
1805,100,2021-07-01,FAILED,MXN,6800,5123429.03,0.0,9063826205.330002,0.0,0
1806,100,2021-07-01,CANCELLED,MXN,5535,6857684.84,540740.0,0.0,0.0,0
1807,100,2021-07-01,CANCELLED,MXN,5,5450.0,0.0,0.0,0.0,0
1808,100,2021-07-01,ERROR,MXN,5,5050.0,0.0,0.0,0.0,0
1809,100,2021-08-01,FAILED,MXN,5137,4145929.82,0.0,9063826205.330002,0.0,0
1810,100,2021-08-01,ERROR,MXN,4592,6007893.1,12183.0,0.0,0.0,0
1811,100,2021-08-01,ERROR,MXN,9,16140.0,0.0,0.0,0.0,0
1812,101,2021-07-01,COMPLETED,MXN,10624,31660327.47,0.0,12919153058.399994,0.991137232950835,0
1813,101,2021-07-01,FAILED,MXN,83,195252.0,0.0,9063826205.330002,0.991137232950835,0
1814,101,2021-07-01,CANCELLED,MXN,12,15970.0,0.0,0.0,0.991137232950835,0
1815,101,2021-08-01,COMPLETED,MXN,10867,32391231.98,0.0,12919153058.399994,0.9914241401331996,0
1816,101,2021-08-01,FAILED,MXN,94,174227.0,0.0,9063826205.330002,0.9914241401331996,0
